402,-2276,599,-2257
213,-2334,402,-2276
39,-2427,213,-2334
-113,-2552,39,-2427
-238,-2705,-113,-2552
-331,-2879,-238,-2705
-388,-3068,-331,-2879
-408,-3265,-388,-3068
-388,-3461,-408,-3265
-331,-3650,-388,-3461
-238,-3824,-331,-3650
-113,-3977,-238,-3824
39,-4102,-113,-3977
213,-4195,39,-4102
402,-4253,213,-4195
599,-4272,402,-4253
795,-4253,599,-4272
984,-4195,795,-4253
1158,-4102,984,-4195
1311,-3977,1158,-4102
1436,-3824,1311,-3977
1529,-3650,1436,-3824
1587,-3461,1529,-3650
1606,-3265,1587,-3461
1587,-3068,1606,-3265
1529,-2879,1587,-3068
1436,-2705,1529,-2879
1311,-2552,1436,-2705
1158,-2427,1311,-2552
984,-2334,1158,-2427
795,-2276,984,-2334
599,-2257,795,-2276
417,-2352,599,-2334
243,-2405,417,-2352
82,-2491,243,-2405
-58,-2607,82,-2491
-174,-2748,-58,-2607
-260,-2908,-174,-2748
-313,-3083,-260,-2908
-331,-3265,-313,-3083
-313,-3446,-331,-3265
-260,-3621,-313,-3446
-174,-3781,-260,-3621
-58,-3922,-174,-3781
82,-4038,-58,-3922
243,-4124,82,-4038
417,-4177,243,-4124
599,-4195,417,-4177
780,-4177,599,-4195
955,-4124,780,-4177
1116,-4038,955,-4124
1257,-3922,1116,-4038
1372,-3781,1257,-3922
1458,-3621,1372,-3781
1511,-3446,1458,-3621
1529,-3265,1511,-3446
1511,-3083,1529,-3265
1458,-2908,1511,-3083
1372,-2748,1458,-2908
1257,-2607,1372,-2748
1116,-2491,1257,-2607
955,-2405,1116,-2491
780,-2352,955,-2405
599,-2334,780,-2352
429,-2414,599,-2397
267,-2463,429,-2414
117,-2543,267,-2463
-14,-2651,117,-2543
-121,-2783,-14,-2651
-202,-2933,-121,-2783
-251,-3095,-202,-2933
-268,-3265,-251,-3095
-251,-3434,-268,-3265
-202,-3596,-251,-3434
-121,-3746,-202,-3596
-14,-3878,-121,-3746
117,-3986,-14,-3878
267,-4066,117,-3986
429,-4115,267,-4066
599,-4132,429,-4115
768,-4115,599,-4132
931,-4066,768,-4115
1081,-3986,931,-4066
1212,-3878,1081,-3986
1320,-3746,1212,-3878
1400,-3596,1320,-3746
1449,-3434,1400,-3596
1466,-3265,1449,-3434
1449,-3095,1466,-3265
1400,-2933,1449,-3095
1320,-2783,1400,-2933
1212,-2651,1320,-2783
1081,-2543,1212,-2651
931,-2463,1081,-2543
768,-2414,931,-2463
599,-2397,768,-2414
439,-2462,599,-2446
286,-2509,439,-2462
144,-2584,286,-2509
20,-2686,144,-2584
-81,-2810,20,-2686
-156,-2951,-81,-2810
-203,-3105,-156,-2951
-219,-3265,-203,-3105
-203,-3424,-219,-3265
-156,-3578,-203,-3424
-81,-3719,-156,-3578
20,-3843,-81,-3719
144,-3945,20,-3843
286,-4020,144,-3945
439,-4067,286,-4020
599,-4083,439,-4067
758,-4067,599,-4083
912,-4020,758,-4067
1053,-3945,912,-4020
1177,-3843,1053,-3945
1279,-3719,1177,-3843
1355,-3578,1279,-3719
1401,-3424,1355,-3578
1417,-3265,1401,-3424
1401,-3105,1417,-3265
1355,-2951,1401,-3105
1279,-2810,1355,-2951
1177,-2686,1279,-2810
1053,-2584,1177,-2686
912,-2509,1053,-2584
758,-2462,912,-2509
599,-2446,758,-2462
446,-2496,599,-2481
299,-2541,446,-2496
164,-2613,299,-2541
45,-2711,164,-2613
-51,-2829,45,-2711
-124,-2965,-51,-2829
-168,-3112,-124,-2965
-183,-3265,-168,-3112
-168,-3417,-183,-3265
-124,-3564,-168,-3417
-51,-3700,-124,-3564
45,-3818,-51,-3700
164,-3916,45,-3818
299,-3988,164,-3916
446,-4033,299,-3988
599,-4048,446,-4033
751,-4033,599,-4048
898,-3988,751,-4033
1034,-3916,898,-3988
1152,-3818,1034,-3916
1250,-3700,1152,-3818
1322,-3564,1250,-3700
1367,-3417,1322,-3564
1382,-3265,1367,-3417
1367,-3112,1382,-3265
1322,-2965,1367,-3112
1250,-2829,1322,-2965
1152,-2711,1250,-2829
1034,-2613,1152,-2711
898,-2541,1034,-2613
751,-2496,898,-2541
599,-2481,751,-2496
450,-2517,599,-2502
307,-2560,450,-2517
175,-2631,307,-2560
60,-2726,175,-2631
-34,-2841,60,-2726
-104,-2973,-34,-2841
-148,-3116,-104,-2973
-162,-3265,-148,-3116
-148,-3413,-162,-3265
-104,-3556,-148,-3413
-34,-3688,-104,-3556
60,-3803,-34,-3688
175,-3898,60,-3803
307,-3969,175,-3898
450,-4012,307,-3969
599,-4027,450,-4012
747,-4012,599,-4027
890,-3969,747,-4012
1022,-3898,890,-3969
1138,-3803,1022,-3898
1232,-3688,1138,-3803
1303,-3556,1232,-3688
1346,-3413,1303,-3556
1361,-3265,1346,-3413
1346,-3116,1361,-3265
1303,-2973,1346,-3116
1232,-2841,1303,-2973
1138,-2726,1232,-2841
1022,-2631,1138,-2726
890,-2560,1022,-2631
747,-2517,890,-2560
599,-2502,747,-2517
451,-2524,599,-2509
310,-2567,451,-2524
179,-2637,310,-2567
65,-2731,179,-2637
-28,-2845,65,-2731
-98,-2976,-28,-2845
-141,-3117,-98,-2976
-155,-3265,-141,-3117
-141,-3412,-155,-3265
-98,-3554,-141,-3412
-28,-3684,-98,-3554
65,-3798,-28,-3684
179,-3892,65,-3798
310,-3962,179,-3892
451,-4005,310,-3962
599,-4020,451,-4005
746,-4005,599,-4020
888,-3962,746,-4005
1018,-3892,888,-3962
1133,-3798,1018,-3892
1227,-3684,1133,-3798
1296,-3554,1227,-3684
1339,-3412,1296,-3554
1354,-3265,1339,-3412
1339,-3117,1354,-3265
1296,-2976,1339,-3117
1227,-2845,1296,-2976
1133,-2731,1227,-2845
1018,-2637,1133,-2731
888,-2567,1018,-2637
746,-2524,888,-2567
