501,-399,501,-499
601,-499,701,-499
701,-399,701,-299
601,-299,501,-299
701,-299,601,-299
701,-499,701,-399
501,-499,601,-499
501,-299,501,-399
501,-449,501,-499
601,-499,701,-499
701,-349,701,-299
601,-299,501,-299
701,-299,601,-299
701,-449,701,-399
501,-499,601,-499
501,-349,501,-399
701,-499,701,-449
701,-399,701,-349
501,-299,501,-349
501,-399,501,-449
577,-295,577,-272
624,-295,624,-272
577,-272,624,-272
624,-503,624,-526
577,-503,577,-526
624,-526,577,-526
577,-295,577,-272
624,-295,624,-272
577,-272,624,-272
624,-503,624,-526
577,-503,577,-526
624,-526,577,-526
