121,-7,121,73
121,73,-121,73
-121,73,-121,-169
-121,-169,121,-169
121,-169,121,-88
100,-493,100,-294
100,-294,-99,-294
-99,-294,-99,-493
593,-494,593,-294
593,-294,393,-294
393,-294,393,-494
393,-494,593,-494
593,-135,593,64
593,64,393,64
393,64,393,-135
393,-135,593,-135
593,166,593,366
593,366,393,366
393,366,393,166
393,166,593,166
1214,-2498,953,-2606
1323,-2237,1214,-2498
1214,-1976,1323,-2237
953,-1867,1214,-1976
692,-1976,953,-1867
584,-2237,692,-1976
692,-2498,584,-2237
953,-2606,692,-2498
1199,-2482,953,-2584
1300,-2237,1199,-2482
1199,-1991,1300,-2237
953,-1890,1199,-1991
708,-1991,953,-1890
606,-2237,708,-1991
708,-2482,606,-2237
953,-2584,708,-2482
1174,-2458,953,-2549
1265,-2237,1174,-2458
1174,-2016,1265,-2237
953,-1924,1174,-2016
732,-2016,953,-1924
641,-2237,732,-2016
732,-2458,641,-2237
953,-2549,732,-2458
-10,311,-10,291
-10,291,10,291
10,291,10,311
10,311,-10,311
593,38811,593,39011
593,39011,393,39011
393,39011,393,38811
393,38811,593,38811
-29,-344,0,-336
-50,-366,-29,-344
-58,-395,-50,-366
-50,-424,-58,-395
-29,-446,-50,-424
0,-454,-29,-446
29,-446,0,-454
50,-424,29,-446
58,-395,50,-424
50,-366,58,-395
29,-344,50,-366
0,-336,29,-344
-99,-493,-99,-691
-99,-691,100,-691
100,-691,100,-493
-24,-554,0,-547
-43,-572,-24,-554
-49,-597,-43,-572
-43,-622,-49,-597
-24,-640,-43,-622
0,-647,-24,-640
24,-640,0,-647
43,-622,24,-640
49,-597,43,-622
43,-572,49,-597
24,-554,43,-572
0,-547,24,-554
